
2026/03/08 (15:24:10) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/08 (15:28:23) | ===> btop++ v.1.4.6
2026/03/08 (15:28:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/08 (15:28:23) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/08 (19:38:02) | ===> btop++ v.1.4.6
2026/03/08 (19:38:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/08 (19:38:02) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (13:44:17) | ===> btop++ v.1.4.6
2026/03/09 (13:44:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (13:44:17) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (13:45:02) | ===> btop++ v.1.4.6
2026/03/09 (13:45:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (13:45:02) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (13:45:54) | ===> btop++ v.1.4.6
2026/03/09 (13:45:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (13:45:54) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (14:13:24) | ===> btop++ v.1.4.6
2026/03/09 (14:13:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (14:13:24) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (15:01:29) | ===> btop++ v.1.4.6
2026/03/09 (15:01:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (15:01:29) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (15:37:53) | ===> btop++ v.1.4.6
2026/03/09 (15:37:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (15:37:53) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (17:09:47) | ===> btop++ v.1.4.6
2026/03/09 (17:09:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (17:09:47) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (17:11:14) | ===> btop++ v.1.4.6
2026/03/09 (17:11:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (17:11:14) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (17:12:41) | ===> btop++ v.1.4.6
2026/03/09 (17:12:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (17:12:41) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (17:13:57) | ===> btop++ v.1.4.6
2026/03/09 (17:13:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (17:13:57) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (17:19:22) | ===> btop++ v.1.4.6
2026/03/09 (17:19:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (17:19:22) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (17:22:41) | ===> btop++ v.1.4.6
2026/03/09 (17:22:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (17:22:41) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (20:18:34) | ===> btop++ v.1.4.6
2026/03/09 (20:18:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (20:18:34) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (20:38:32) | ===> btop++ v.1.4.6
2026/03/09 (20:38:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (20:38:32) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/09 (20:49:57) | ===> btop++ v.1.4.6
2026/03/09 (20:49:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/09 (20:49:57) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/10 (11:00:15) | ===> btop++ v.1.4.6
2026/03/10 (11:00:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/10 (11:00:15) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/10 (11:01:09) | ===> btop++ v.1.4.6
2026/03/10 (11:01:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2026/03/10 (11:01:09) | WARNING: Intel GPU: Failed to initialize PMU

2026/03/10 (11:06:26) | ===> btop++ v.1.4.6
2026/03/10 (11:06:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
